ts,power,current,voltage
2025-07-28T18:59:43.334771,68.3,0.591,236.7
2025-07-28T19:03:52.999024,68.3,0.591,236.7
2025-07-28T19:08:52.951317,0.0,0.0,237.7
2025-07-29T07:46:54.886279,77.7,0.615,239.0
2025-07-29T08:31:54.816408,77.5,0.618,240.4
2025-07-29T08:36:54.811766,75.4,0.609,237.2
2025-07-29T08:41:54.804326,75.5,0.611,238.1
2025-07-29T08:46:54.794375,75.2,0.611,237.2
2025-07-29T08:51:54.858650,75.4,0.612,238.1
2025-07-29T08:56:54.805027,75.1,0.609,238.1
2025-07-29T09:01:54.877725,74.6,0.607,237.2
2025-07-29T09:21:54.863970,74.5,0.603,236.3
2025-07-29T09:26:54.831055,74.4,0.603,237.2
2025-07-29T09:31:55.349095,74.6,0.603,237.2
2025-07-29T09:36:54.826974,74.7,0.604,237.7
2025-07-29T09:41:54.969212,74.8,0.597,235.0
2025-07-29T09:46:54.829426,75.1,0.596,235.4
2025-07-29T09:51:54.924801,74.6,0.595,235.0
2025-07-29T09:56:54.827970,74.7,0.597,235.0
2025-07-29T10:01:54.837213,74.6,0.596,235.0
2025-07-29T10:06:54.836751,74.6,0.597,235.0
2025-07-29T10:11:54.867200,74.7,0.598,235.0
2025-07-29T10:16:54.955590,74.4,0.597,235.0
2025-07-29T10:21:54.880182,74.3,0.594,234.1
2025-07-29T10:26:54.841208,74.2,0.597,234.5
2025-07-29T10:31:54.829006,75.4,0.599,235.0
2025-07-29T10:36:54.916921,75.1,0.598,234.5
2025-07-29T10:46:54.915019,75.5,0.602,235.8
2025-07-29T10:56:54.827588,75.1,0.601,235.8
2025-07-29T11:01:54.880465,75.4,0.603,237.2
2025-07-29T11:06:54.831310,76.1,0.608,238.1
2025-07-29T11:11:54.844473,74.7,0.597,235.4
2025-07-29T11:16:54.829944,74.5,0.598,235.4
2025-07-29T11:21:54.832863,74.9,0.599,235.8
2025-07-29T11:26:54.828904,74.3,0.599,235.4
2025-07-29T11:31:54.833567,74.8,0.603,236.7
2025-07-29T11:36:54.804125,74.6,0.603,237.2
2025-07-29T11:41:54.828910,74.8,0.606,237.7
2025-07-29T11:46:54.810316,74.2,0.603,236.7
2025-07-29T11:51:54.960514,74.7,0.604,237.7
2025-07-29T11:56:54.850958,74.8,0.605,236.7
2025-07-29T12:01:54.819575,75.0,0.607,237.7
2025-07-29T12:06:54.818102,75.5,0.61,238.6
2025-07-29T12:11:55.047898,74.9,0.606,237.7
2025-07-29T12:16:54.847751,75.2,0.606,237.2
2025-07-29T12:21:54.798742,75.3,0.609,237.2
2025-07-29T12:26:54.808353,76.1,0.614,239.5
2025-07-29T12:31:54.789513,75.7,0.612,239.0
2025-07-29T12:36:54.797242,75.4,0.612,239.0
2025-07-29T12:41:54.779049,75.8,0.61,238.6
2025-07-29T12:46:54.916458,76.1,0.612,239.0
2025-07-29T12:51:54.823753,75.6,0.612,238.6
2025-07-29T12:56:54.918056,75.1,0.608,238.1
2025-07-29T13:01:54.815650,74.4,0.605,236.7
2025-07-29T13:06:54.857052,74.3,0.606,236.7
2025-07-29T13:11:54.960996,74.3,0.606,236.7
2025-07-29T13:16:54.799526,75.1,0.609,239.0
2025-07-29T13:21:54.871990,75.1,0.609,239.0
2025-07-29T13:26:54.807425,75.1,0.609,239.0
2025-07-29T13:31:54.812842,75.1,0.609,239.0
2025-07-29T13:36:54.795427,75.1,0.609,239.0
2025-07-29T13:41:54.830774,74.4,0.603,237.7
2025-07-29T13:46:54.858506,74.4,0.603,237.7
2025-07-29T13:51:54.830009,74.4,0.603,237.7
2025-07-29T13:56:54.811339,74.4,0.603,237.7
2025-07-29T14:01:54.819092,73.8,0.597,235.4
2025-07-29T14:06:54.839734,74.1,0.598,235.8
2025-07-29T14:11:54.895732,74.1,0.598,235.8
2025-07-29T14:16:54.792351,74.1,0.598,235.8
2025-07-29T14:21:54.814387,74.1,0.598,235.8
2025-07-29T14:26:54.850559,74.1,0.598,235.8
2025-07-29T14:31:54.854334,74.1,0.598,235.8
2025-07-29T14:36:54.823935,74.1,0.598,235.8
2025-07-29T14:41:54.838179,73.4,0.591,234.1
2025-07-29T14:46:54.807116,73.4,0.591,234.1
2025-07-29T14:51:54.802376,73.4,0.591,234.1
2025-07-29T14:56:54.804139,73.4,0.591,234.1
2025-07-29T15:01:54.819814,73.4,0.591,234.1
2025-07-29T15:06:54.814678,73.4,0.591,234.1
2025-07-29T15:11:54.804093,73.4,0.591,234.1
2025-07-29T15:16:54.891103,73.4,0.591,234.1
2025-07-29T15:21:54.825697,73.4,0.591,234.1
2025-07-29T15:26:54.861528,73.4,0.591,234.1
2025-07-29T15:31:54.804859,73.5,0.594,235.0
2025-07-29T15:36:54.813743,73.5,0.594,235.0
2025-07-29T15:41:54.803781,73.1,0.594,235.0
